Id,Ort,Plz,Vorwahl,Bundesland
19,Abbau Ader,29416.0,,Sachsen-Anhalt
20,Abbendorf,19322.0,38791.0,Brandenburg
21,Abbenrode,38871.0,39452.0,Sachsen-Anhalt
22,Abberode,6543.0,34779.0,Sachsen-Anhalt
24,Abend,1623.0,35246.0,Sachsen
30,Abtlöbnitz,6628.0,34466.0,Sachsen-Anhalt
31,Abtsbessingen,99713.0,36020.0,Thüringen
32,Abtsdorf,6888.0,3491.0,Sachsen-Anhalt
49,Ackendorf,39343.0,39202.0,Sachsen-Anhalt
50,Ackermannshof,16259.0,33451.0,Brandenburg
55,Adelhausen,98646.0,3685.0,Thüringen
59,Adelsdorf,1561.0,3522.0,Sachsen
71,Aderstedt,6408.0,3471.0,Sachsen-Anhalt
72,Aderstedt,38838.0,39428.0,Sachsen-Anhalt
78,Adorf,8626.0,37423.0,Sachsen
98,Ahlsdorf,4916.0,35362.0,Brandenburg
99,Ahlsdorf,6313.0,34772.0,Sachsen-Anhalt
100,Ahlstädt,98553.0,36873.0,Thüringen
101,Ahlum,38489.0,39007.0,Sachsen-Anhalt
115,Ahrensdorf,14974.0,3378.0,Brandenburg
116,Ahrensdorf,15864.0,33677.0,Brandenburg
117,Ahrensfelde,16356.0,30.0,Brandenburg
147,Aitzendorf,9326.0,37382.0,Sachsen
148,Aken,6385.0,34909.0,Sachsen-Anhalt
149,Alach,99100.0,361.0,Thüringen
150,Alach,99100.0,361.0,Thüringen
154,Albersdorf,7646.0,36692.0,Thüringen
157,Albersroda,6268.0,34632.0,Sachsen-Anhalt
158,Alberstedt,6279.0,34774.0,Sachsen-Anhalt
161,Albertinenhof,16818.0,33925.0,Brandenburg
167,Albrechts,98529.0,3681.0,Thüringen
168,Albrechts,98529.0,3681.0,Thüringen
169,Albrechtshof,17291.0,39862.0,Brandenburg
188,Algenstedt,39638.0,3907.0,Sachsen-Anhalt
194,Alikendorf,39398.0,39408.0,Sachsen-Anhalt
196,Alkersleben,99310.0,36200.0,Thüringen
199,Allendorf,7426.0,36730.0,Thüringen
205,Alleringersleben,39343.0,39400.0,Sachsen-Anhalt
207,Allersdorf,98701.0,36781.0,Thüringen
214,Allmenhausen,99713.0,36020.0,Thüringen
216,Allmosen,1983.0,35753.0,Brandenburg
217,Allrode,6507.0,39487.0,Sachsen-Anhalt
218,Allstedt,6542.0,34652.0,Sachsen-Anhalt
225,Alperstedt,99195.0,36204.0,Thüringen
